#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
呵,口可 kk,口可 kk,口口 kk,口可kk,口可 dz,ks,口可 kk,口一 kh,口一kh
嗄,口夏 kx,口夂 kw,口夂 kw,口夏kx,口夊 dh,kd,口夂 kw,口一 kh,口一kh
錒,金可 jk,金可 jk,金可 jk,金阿ja,金可 zz,qb,,钅乛 jv,
𠼞,𠆢亞 ry,𠆢亞 ry,𠆢亞 ry,合亞hy,亼 jc,wg,,,
𥥩,宀口 bk,宀口 bk,宀口 bk,穴向xx,口 ed,pw,,,
𨉚,身电 ud,身电 ud,身电 ud,身奄uy,身乚 za,tm,,,
愛,爫夊 vw,爫夂 vw, pw,爫夊vw｜心夊xw,爫夂 yh,ep,,丿丶 pd,
捱,扌土 ft,扌土 ft,扌土 ft,扌厓fy,扌土 ug,rd,扌土 ft,扌一 fh,扌一fh
礙,石疑 uy,石疋 uz, ur,石疑uy,石疋 mt,dx,,一丿 hp,
娭,女矢 nu,女矢 nu,女矢 nu,女矣ny,女矢 bo,vc,,女乛 nv,
薆,艹夂 cw,艹夂 cw,艹夂 cw,艹愛ca,艹夂 lh,ae,,艹丶 cd,
靉,雨夂 yw,雨夂 yw,雨夂 yw,雲愛ya,⻗夂 th,ff,,一丿 hp,
曖,日夂 ow,日夂 ow,日夂 ow,日愛oa,日夂 oh,je,,日丿 lp,
欬,欠亥 qh,亠欠 wq, wr,欠亥qh,亥欠 ke,yn,,丶丿 dp,
餲,食曷 uh,飠人 ur, rv,食曷uh,飠亾 qf,"wp,wy",,人日 rl,
噯,口夂 kw,口夂 kw,口夂 kw,口愛ka,口夂 dh,ke,,口丿 kp,
敳,攵豈 wq,山攵 uw, ew,.wd｜攵豈wq,山攵 vh,mg,,丨丿 sp,
懓,忄夂 xw,忄夂 xw,忄夂 xw,心愛xa,忄夂 hh,ne,,忄丿 xp,
硙,石己 uj,石己 uj,石己 uj,石岂uq｜.uy,石己 mv,dm,石己 uj,一丨 hs,石山bg
僾,亻夂 rw,亻夂 rw,亻夂 rw,亻愛ra,亻夂 jh,we,,人丿 rp,
藹,艹謁 cy,艹人 cr, cv,艹曷ch｜艹謁cy,艹亾 lf,ay,,艹乛 cv,
溰,氵豈 dq,氵䒑 db, da,.dd｜氵豈dq,氵豆 kz,im,,氵丨 us,
焥,火㔾 hv,火㔾 hv,火㔾 hv,火宛hw,火⺋ cz,op,,火宀 qb,
嬡,女夂 nw,女夂 nw,女夂 nw,女愛na,女夂 bh,ve,,女丿 np,
懝,忄疑 xy,忄疋 xz, xr,忄疑xy,忄疋 ht,nx,,忄丿 xp,
瞹,目夂 ow,目夂 ow,目夂 ow,目愛oa,目夂 qh,he,,丨丿 sp,
諰,言思 ys,訁心 yx, wx,言思ys,言心 sh,yl,,讠丨 as,
隑,耳豈 eq,⻖䒑 eb, ea,.ed｜耳豈eq,阝豆 tz,bm,,乛丨 vs,
靄,雨謁 yy,雨人 yr,口夂 yv,雨曷yh｜雨謁yy,⻗亾 tf,fy,,一乛 hv,
凒,冫豈 dq,冫䒑 db, da,.dd｜冫豈dq,冫豆 wz,um,,丶丨 ds,
啀,口土 kt,口土 kt,口土 kt,口厓ky,口土 dg,kd,,口一 kh,
娾,女土 nt,女土 nt,女土 nt,.ny,女土 bg,vd,,女一 nh,
昹,日永 oy,日永 oy,日永 oy,日永oy,日 ok,jy,,日丶 ld,
溾,氵鬼 dg,氵鬼 dg,氵鬼 dg,氵鬼dg,氵鬼 ka,ir,,氵丿 up,
濭,点皿 dm,氵皿 dm,氵皿 dm,氵蓋dg｜.dm,氵皿 ka,ia,,氵艹 uc,
硋,石人 ur,石人 ur,石人 ur,石亥uh,石亥 mk,dy,,一丶 hd,
磑,石豈 uq,石䒑 ub, ua,.ud｜石豈uq,石豆 mz,dm,,一丨 hs,
銰,金乂 jx,金乂 jx,金乂 jx,金艾ja,金乂 zb,qa,,,
鎄,金哀 ja,金口 jk,金可 jy,金哀ja,金口 zd,qy,,钅丶 jd,
鑀,金夂 jw,金夂 jw,金夂 jw,金愛ja,金夂 zh,qe,,钅丿 jp,
㑸,亻可 rk,亻可 rk,亻可 rk,亻可rk,亻可 jz,wd,,,
㕌,厂寸 ic,厂寸 ic,厂寸 ic,.id,厂寸 xk,dj,,,
㗒,口哀 ka,口口 kk, ky,口哀ka,口口 dd,ky,,,
㗨,匚口 kk,匚口 kk,匚口 kk,.ky,匸口 nd,at,,,
㘷,土乂 tx,土乂 tx,土乂 tx,土艾ta,土乂 gb,fa,,,
㝶,⺫寸 sc,⺫寸 sc,⺫寸 sc,.cs,罒寸 yk,lq,,,
㢊,广可 gk,广可 gk,广可 gk,.gq,广可 xz,yd,,,
㤅,心无 xw,旡心 wx, ax,心{无}xw,旡心 dh,aq,,,
㱯,歹豈 dq,歹䒑 db,𠆢亞 da,歹豈dq,歹豆 gz,gq,,,
㿄,. by,疒殳 bu, by,.by,疒殳 ar,ua,,,
䀳,目束 ou,目束 ou,目束 ou,目束ou,目束 qx,hg,,,
䅬,禾皿 hm,禾皿 hm,禾皿 hm,禾益hy,禾皿 xa,tu,,,
䑂,⺼八 ob,⺼八 ob,⺼八 ob,月與oy,月 vh,ev,,,
䔽,艹渴 ck,艹人 cr, cv,艹渴ck,艹亾 lf,ai,,,
䝽,. by,貝土 bt, ot,.by,貝土 og,md,,,
䨠,雨曷 yh,雨人 yr, yv,雨曷yh,⻗亾 tf,fj,,,
䬵,食亥 uh,飠人 ur, rr,食亥uh,飠亥 qk,wy,,,
䶣,齒豈 iq,止䒑 vb, va,齒豈iq,齒豆 lz,hb,,,
伌,亻㔾 rv,亻㔾 rv,宀口 rv,亻厄re,亻⺋ jz,wd,,人一 rh,
嘊,口土 kt,口土 kt,口土 kt,口崖ky,口土 dg,km,,口丨 ks,
堨,土乛 tv,土人 tr, tv,土曷th,土亾 gf,fj,土乛 tv,土日 tl,土日tl
塧,土皿 tm,土皿 tm,土皿 tm,土益ty,土皿 ga,fu,,土丶 td,
壒,. tm,土皿 tm,土皿 tm,土蓋tg｜.tm,土皿 ga,fa,,土艹 tc,
嵦,山豈 uq,山䒑 ub, ea,.ud｜山豈uq,山豆 vz,mm,,丨丨 ss,
敱,. uy,山又 uy, ey,.pd｜.ud｜.uq｜.uy,山攴 vh,mg,,丨丨 ss,
璦,𤣩夂 ww,𤣩夂 ww,𤣩夂 ww,王愛wa,王夂 nh,ge,,王丿 wp,
皚,白豈 bq,白䒑 bb, ba,白豆bd｜白豈bq,白豆 uz,rm,,丿丨 ps,
皧,白夂 bw,白夂 bw,白夂 bw,白愛ba,白夂 uh,re,,丿丿 pp,
絠,糸有 sy,糹月 so,身电 yo,糸有sy,糹⺝ iv,xd,,纟一 ih,
譪,言葛 yg,訁人 yr, wv,言葛yg,言亾 sf,ya,,讠艹 ac,
譺,言疑 yy,訁疋 yz, wr,言疑yy,言疋 st,yx,,讠丿 ap,
賹,貝益 by,貝皿 bm, om,貝益by,貝皿 oa,mu,,丨丶 sd,
躷,身女 un,身女 un,身女 un,身委uw,身女 zb,tm,,丿禾 pe,
馤,香曷 xh,禾人 hr, hv,香曷xh,禾亾 xf,tj,,禾日 el,
鱫,魚愛 ya,魚夂 yw, aw,魚愛ya,魚夂 wh,qo,,丿丿 pp,
鴱,艹鳥 cn,艹鳥 cn,艹鳥 cn,鳥艾na,艹鳥 lx,aq,,艹丿 cp,
𠊎,亻土 rt,亻土 rt,亻土 rt,.ry｜亻圭rg,亻土 jg,wd,,,
𠳳,口木 km,口木 km,口木 km,口呆kd,口木 de,kk,,,
𡁍,嗐欠 hq,口欠 kq, kr,嗐欠hq,口欠 de,kp,,,
𡉓,土女 tn,土女 tn,土女 tn,土女tn,土女 gb,fv,,,
𡟓,女哀 na,女口 nk, ny,女哀na,女口 bd,vy,,,
𡰽,尸尤 uy,尸尤 uy,尸尤 uy,尸尤uy,尸尤 co,nd,,,
𡶃,山乙 uy,山乙 uv, ev,山乙uy,山乙 va,my,,,
𢟪,{艮}心 gx,{艮}心 gx,{艮}心 gx,心既xj｜既心jx,心 ih,vc,,,
𢟰,心豕 xu,忄𧰨 xu,忄𧰨 xu,.xy｜心豕xu,忄豕 hj,nu,,,
𢣏,忄皿 xm,忄皿 xm,忄皿 xm,心蓋xg,忄皿 ha,na,,,
𢣕,匕心 bx,匕心 bx,匕心 bx,心疑xy｜疑心yx,匕心 vh,xt,,,
