呵	;kk;kk;kk;kk;dz;ks;kk;kh;kh
嗄	;kx;kw;kw;kx;dh;kd;kw;kh;kh
錒	;jk;jk;jk;ja;zz;qb;;jv
𠼞	;ry;ry;ry;hy;jc;wg;;
𥥩	;bk;bk;bk;xx;ed;pw;;
𨉚	;ud;ud;ud;uy;za;tm;;
愛	;vw;vw;pw;vw,xw;yh;ep;;pd
捱	;ft;ft;ft;fy;ug;rd;ft;fh;fh
礙	;uy;uz;ur;uy;mt;dx;;hp
娭	;nu;nu;nu;ny;bo;vc;;nv
薆	;cw;cw;cw;ca;lh;ae;;cd
靉	;yw;yw;yw;ya;th;ff;;hp
曖	;ow;ow;ow;oa;oh;je;;lp
欬	;qh;wq;wr;qh;ke;yn;;dp
餲	;uh;ur;rv;uh;qf;wp,wy;;rl
噯	;kw;kw;kw;ka;dh;ke;;kp
敳	;wq;uw;ew;wd,wq;vh;mg;;sp
懓	;xw;xw;xw;xa;hh;ne;;xp
硙	;uj;uj;uj;uq,uy;mv;dm;uj;hs;bg
僾	;rw;rw;rw;ra;jh;we;;rp
藹	;cy;cr;cv;ch,cy;lf;ay;;cv
溰	;dq;db;da;dd,dq;kz;im;;us
焥	;hv;hv;hv;hw;cz;op;;qb
嬡	;nw;nw;nw;na;bh;ve;;np
懝	;xy;xz;xr;xy;ht;nx;;xp
瞹	;ow;ow;ow;oa;qh;he;;sp
諰	;ys;yx;wx;ys;sh;yl;;as
隑	;eq;eb;ea;ed,eq;tz;bm;;vs
靄	;yy;yr;yv;yh,yy;tf;fy;;hv
凒	;dq;db;da;dd,dq;wz;um;;ds
啀	;kt;kt;kt;ky;dg;kd;;kh
娾	;nt;nt;nt;ny;bg;vd;;nh
昹	;oy;oy;oy;oy;ok;jy;;ld
溾	;dg;dg;dg;dg;ka;ir;;up
濭	;dm;dm;dm;dg,dm;ka;ia;;uc
硋	;ur;ur;ur;uh;mk;dy;;hd
磑	;uq;ub;ua;ud,uq;mz;dm;;hs
銰	;jx;jx;jx;ja;zb;qa;;
鎄	;ja;jk;jy;ja;zd;qy;;jd
鑀	;jw;jw;jw;ja;zh;qe;;jp
㑸	;rk;rk;rk;rk;jz;wd;;
㕌	;ic;ic;ic;id;xk;dj;;
㗒	;ka;kk;ky;ka;dd;ky;;
㗨	;kk;kk;kk;ky;nd;at;;
㘷	;tx;tx;tx;ta;gb;fa;;
㝶	;sc;sc;sc;cs;yk;lq;;
㢊	;gk;gk;gk;yq;xz;yd;;
㤅	;xw;wx;ax;xj;dh;aq;;
㱯	;dq;db;da;dq;gz;gq;;
㿄	;by;bu;by;by;ar;ua;;
䀳	;ou;ou;ou;ou;qx;hg;;
䅬	;hm;hm;hm;hy;xa;tu;;
䑂	;ob;ob;ob;oy;vh;ev;;
䔽	;ck;cr;cv;ck;lf;ai;;
䝽	;by;bt;ot;by;og;md;;
